175,781;308,838;-1,221;-0,006;0,061;0,006
173,340;311,279;-1,221;-0,006;0,031;-0,006
173,340;311,279;-1,221;-0,006;-0,006;0,012
69,580;308,838;-2,441;0,415;-8,484;-0,006
-19,531;310,059;-3,662;0,006;-1,947;0,006
-31,738;308,838;-3,662;0,073;2,649;0,000
-41,504;308,838;-3,662;0,037;3,552;0,006
-45,166;310,059;-2,441;0,012;2,716;0,006
-40,283;310,059;0,000;-0,006;1,190;0,000
-25,635;310,059;-2,441;-0,037;-0,452;0,006
-7,324;310,059;-2,441;-0,049;-1,740;0,006
-1,221;311,279;-2,441;-0,037;-1,978;0,012
-1,221;308,838;-1,221;-0,037;-1,880;0,006
-1,221;308,838;-3,662;-0,012;-1,428;0,000
0,000;311,279;-1,221;-0,006;-0,659;0,006
0,000;310,059;0,000;-0,006;0,189;0,000
0,000;308,838;-1,221;0,006;0,854;0,000
0,000;307,617;0,000;0,018;1,215;0,000
2,441;310,059;-3,662;0,018;1,154;0,006
-1,221;310,059;0,000;-0,006;0,793;0,006
-1,221;307,617;-4,883;-0,006;0,256;0,000
0,000;311,279;-2,441;-0,018;-0,299;0,000
0,000;307,617;-1,221;-0,012;-0,720;0,000
-1,221;307,617;-2,441;-0,012;-0,873;0,006
0,000;310,059;-1,221;-0,018;-0,775;0,012
-1,221;308,838;-1,221;-0,012;-0,458;0,000
0,000;308,838;-1,221;-0,012;-0,018;0,006
0,000;310,059;-2,441;-0,006;0,360;0,000
-2,441;307,617;-2,441;0,012;0,586;0,006
1,221;310,059;-1,221;0,006;0,629;-0,006
1,221;310,059;-2,441;-0,006;0,470;-0,006
0,000;310,059;-1,221;-0,006;0,183;-0,006
-2,441;310,059;-1,221;-0,018;-0,116;0,006
-1,221;308,838;-3,662;-0,024;-0,378;-0,006
-1,221;308,838;-2,441;-0,012;-0,494;0,012
0,000;311,279;-3,662;-0,018;-0,446;-0,006
0,000;308,838;-2,441;-0,018;-0,262;0,012
0,000;311,279;-1,221;-0,006;-0,024;-0,006
1,221;310,059;-2,441;-0,006;0,214;0,000
1,221;308,838;-2,441;0,006;0,372;-0,006
-2,441;311,279;-3,662;-0,006;0,372;0,000
1,221;307,617;-1,221;0,000;0,269;0,006
-1,221;308,838;-2,441;0,006;0,092;0,000
-1,221;312,500;0,000;-0,006;-0,098;0,012
0,000;307,617;-2,441;-0,024;-0,244;0,000
0,000;307,617;-2,441;-0,012;-0,299;-0,006
0,000;311,279;-3,662;-0,012;-0,256;0,000
1,221;310,059;-2,441;-0,006;-0,140;0,006
-2,441;310,059;0,000;-0,006;0,018;0,006
0,000;308,838;-2,441;0,006;0,153;0,000
0,000;312,500;-2,441;0,000;0,208;0,006
0,000;308,838;-1,221;-0,006;0,214;-0,006
0,000;308,838;-1,221;0,006;0,140;0,000
0,000;310,059;-2,441;-0,006;0,037;0,006
-1,221;312,500;-3,662;0,000;-0,061;0,000
0,000;308,838;-1,221;-0,012;-0,128;0,012
0,000;307,617;-3,662;0,000;-0,183;0,018
0,000;307,617;-1,221;-0,018;-0,153;0,000
1,221;308,838;-3,662;0,000;-0,085;0,006
-1,221;308,838;-1,221;0,000;0,018;0,012
-1,221;308,838;-3,662;0,006;0,079;-0,006
0,000;308,838;-3,662;-0,006;0,128;0,012
1,221;308,838;-1,221;-0,012;0,140;0,006
0,000;308,838;-2,441;-0,006;0,098;0,006
1,221;307,617;-1,221;0,000;0,012;-0,006
-2,441;307,617;-2,441;-0,006;-0,085;0,012
1,221;307,617;-1,221;0,000;-0,104;0,012
0,000;307,617;-4,883;-0,012;-0,122;0,006
1,221;310,059;-1,221;-0,012;-0,092;0,006
0,000;311,279;0,000;0,000;-0,024;0,006
0,000;308,838;-4,883;-0,006;0,031;-0,006
-1,221;310,059;-1,221;0,000;0,073;0,000
1,221;307,617;-2,441;-0,012;0,092;0,000
-1,221;308,838;-2,441;-0,006;0,061;0,000
0,000;310,059;-2,441;-0,006;0,043;0,012
0,000;308,838;-1,221;-0,012;-0,018;0,006
0,000;308,838;-1,221;-0,018;-0,073;0,006
-2,441;308,838;0,000;-0,006;-0,061;0,000
0,000;310,059;-1,221;-0,012;-0,049;0,000
-1,221;310,059;-2,441;-0,012;-0,037;0,006
0,000;310,059;-2,441;-0,006;0,006;0,012
-1,221;308,838;0,000;-0,012;0,018;0,000
-1,221;311,279;-1,221;-0,006;0,055;-0,006
0,000;311,279;-2,441;-0,006;0,037;0,006
0,000;311,279;0,000;0,000;0,031;0,000
0,000;311,279;-1,221;-0,006;0,018;0,000
-1,221;307,617;0,000;-0,012;0,012;0,006
1,221;312,500;-1,221;-0,006;-0,031;0,000
1,221;310,059;-2,441;0,000;-0,049;0,012
-1,221;310,059;0,000;0,000;-0,024;0,006
-1,221;311,279;-2,441;-0,006;-0,024;0,006
-1,221;310,059;-2,441;-0,012;-0,012;0,000
0,000;310,059;-3,662;-0,006;0,024;0,000
1,221;310,059;-2,441;-0,012;0,024;0,000
-1,221;308,838;-2,441;0,000;0,061;0,000
0,000;308,838;-1,221;-0,012;0,043;0,000
0,000;308,838;-1,221;-0,006;0,006;0,000
0,000;310,059;1,221;-0,006;0,000;0,000
0,000;310,059;-2,441;-0,006;-0,043;0,006
1,221;311,279;-2,441;-0,012;-0,018;0,000
1,221;311,279;-3,662;-0,006;-0,031;-0,006
-1,221;311,279;-1,221;-0,012;-0,006;0,000
0,000;311,279;-2,441;-0,006;0,012;-0,012
0,000;310,059;-1,221;0,000;0,024;0,000
0,000;308,838;-2,441;0,000;0,037;0,006
0,000;310,059;-1,221;-0,012;0,012;0,006
80,566;307,617;-1,221;-0,854;2,460;-0,006
250,244;310,059;-1,221;-0,208;3,522;-0,006
286,865;310,059;-1,221;-0,067;-3,363;-0,006
311,279;310,059;0,000;-0,037;-3,339;0,000
310,059;308,838;-1,221;-0,024;-2,081;0,012
308,838;310,059;0,000;-0,012;-0,671;0,000
308,838;308,838;0,000;0,018;0,671;-0,006
303,955;307,617;-1,221;0,018;1,764;-0,006
288,086;308,838;-1,221;0,031;2,228;0,006
272,217;310,059;-1,221;0,024;2,008;0,000
260,010;310,059;0,000;0,018;1,166;0,006
