Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
135	-4,88281	135	307,617	135	0
136	-4,88281	136	307,617	136	-1,2207
137	-7,32422	137	307,617	137	-3,66211
138	-4,88281	138	308,838	138	-1,2207
139	-2,44141	139	307,617	139	-2,44141
140	-3,66211	140	308,838	140	-1,2207
141	-2,44141	141	307,617	141	-2,44141
142	-4,88281	142	310,059	142	-2,44141
143	-4,88281	143	307,617	143	-1,2207
144	-3,66211	144	307,617	144	-1,2207
145	-2,44141	145	307,617	145	-1,2207
146	-3,66211	146	307,617	146	-2,44141
147	-4,88281	147	308,838	147	-1,2207
148	-3,66211	148	307,617	148	0
149	-4,88281	149	307,617	149	-2,44141
150	-6,10352	150	307,617	150	-2,44141
151	-3,66211	151	307,617	151	-1,2207
152	-6,10352	152	307,617	152	-2,44141
153	-6,10352	153	307,617	153	-1,2207
154	-3,66211	154	308,838	154	-1,2207
155	-3,66211	155	306,396	155	-1,2207
156	-4,88281	156	306,396	156	-1,2207
157	-4,88281	157	307,617	157	-1,2207
158	-3,66211	158	307,617	158	-1,2207
159	-3,66211	159	307,617	159	-2,44141
160	-3,66211	160	307,617	160	-2,44141
161	-4,88281	161	307,617	161	-1,2207
162	-2,44141	162	307,617	162	-1,2207
163	-4,88281	163	307,617	163	-1,2207
164	-7,32422	164	307,617	164	-2,44141
165	-2,44141	165	308,838	165	-3,66211
166	-4,88281	166	307,617	166	-2,44141
167	-3,66211	167	306,396	167	-1,2207
168	-3,66211	168	307,617	168	-1,2207
169	-3,66211	169	307,617	169	-2,44141
170	-4,88281	170	308,838	170	1,2207
171	-7,32422	171	306,396	171	-1,2207
172	-4,88281	172	306,396	172	0
173	-3,66211	173	307,617	173	-2,44141
174	-3,66211	174	307,617	174	0
175	-4,88281	175	308,838	175	-1,2207
176	-6,10352	176	307,617	176	-2,44141
177	-4,88281	177	307,617	177	-1,2207
178	-3,66211	178	307,617	178	-1,2207
179	-4,88281	179	307,617	179	-1,2207
180	-4,88281	180	308,838	180	-2,44141
181	-4,88281	181	307,617	181	-2,44141
182	-3,66211	182	307,617	182	-2,44141
183	-4,88281	183	307,617	183	-2,44141
184	-4,88281	184	307,617	184	0
185	-4,88281	185	307,617	185	-2,44141
186	-6,10352	186	307,617	186	-1,2207
187	-3,66211	187	307,617	187	-1,2207
188	-3,66211	188	307,617	188	-1,2207
189	-3,66211	189	307,617	189	-2,44141
190	-4,88281	190	307,617	190	-2,44141
191	-6,10352	191	308,838	191	0
192	-129,395	192	308,838	192	6,10352
193	-107,422	193	308,838	193	2,44141
194	-107,422	194	307,617	194	0
195	-111,084	195	307,617	195	2,44141
196	-114,746	196	307,617	196	3,66211
197	-118,408	197	307,617	197	0
198	-130,615	198	307,617	198	0
199	-136,719	199	307,617	199	-1,2207
200	-34,1797	200	306,396	200	-1,2207
201	-61,0352	201	307,617	201	-1,2207
202	-75,6836	202	307,617	202	-1,2207
203	-83,0078	203	307,617	203	0
204	-86,6699	204	307,617	204	-1,2207
205	-84,2285	205	307,617	205	-2,44141
206	-76,9043	206	308,838	206	-1,2207
207	-64,6973	207	308,838	207	-2,44141
208	-51,2695	208	307,617	208	-2,44141
209	-29,2969	209	307,617	209	-1,2207
210	-13,4277	210	307,617	210	0
211	0	211	306,396	211	-1,2207
212	0	212	307,617	212	-1,2207
213	0	213	307,617	213	-1,2207
214	-1,2207	214	308,838	214	0
215	0	215	307,617	215	0
216	1,2207	216	307,617	216	-2,44141
217	1,2207	217	307,617	217	0
218	2,44141	218	308,838	218	-1,2207
219	1,2207	219	307,617	219	-1,2207
220	-1,2207	220	308,838	220	0
221	1,2207	221	307,617	221	0
222	1,2207	222	307,617	222	-2,44141
223	-1,2207	223	308,838	223	-1,2207
224	1,2207	224	307,617	224	0
225	1,2207	225	308,838	225	-2,44141
226	2,44141	226	307,617	226	1,2207
227	1,2207	227	307,617	227	0
228	0	228	308,838	228	-3,66211
229	1,2207	229	307,617	229	-1,2207
230	0	230	307,617	230	-2,44141
231	1,2207	231	307,617	231	-2,44141
232	1,2207	232	307,617	232	-1,2207
233	1,2207	233	307,617	233	-1,2207
234	0	234	308,838	234	-1,2207
235	1,2207	235	307,617	235	-3,66211
236	1,2207	236	307,617	236	-1,2207
237	-2,44141	237	308,838	237	-1,2207
238	1,2207	238	307,617	238	-2,44141
239	-1,2207	239	308,838	239	-2,44141
240	0	240	307,617	240	-1,2207
241	-2,44141	241	307,617	241	-1,2207
242	0	242	307,617	242	-2,44141
243	-1,2207	243	310,059	243	0
244	1,2207	244	307,617	244	-1,2207
245	0	245	308,838	245	0
246	1,2207	246	307,617	246	-2,44141
247	0	247	308,838	247	-2,44141
