305,176;307,617;0,000;0,916;-0,061;0,001
305,176;307,617;0,000;0,793;-0,061;0,001
303,955;307,617;1,221;0,793;0,000;0,002
303,955;307,617;-1,221;0,793;-0,244;0,001
303,955;306,396;2,441;0,732;-0,122;0,002
303,955;307,617;0,000;0,671;-0,183;0,001
306,396;307,617;0,000;0,732;-0,122;-0,001
302,734;307,617;-1,221;0,732;0,061;0,002
302,734;307,617;0,000;0,854;-0,061;0,001
303,955;307,617;0,000;0,916;0,000;-0,001
306,396;307,617;1,221;0,732;-0,061;0,001
305,176;308,838;0,000;0,854;-0,061;0,001
305,176;306,396;-1,221;0,793;0,000;-0,001
303,955;307,617;-1,221;0,977;0,000;0,001
301,514;306,396;0,000;0,854;0,000;0,002
303,955;307,617;-1,221;0,793;0,061;0,001
305,176;306,396;1,221;0,793;0,000;0,001
306,396;307,617;-1,221;0,793;0,000;0,001
307,617;306,396;-1,221;0,793;0,000;-0,001
306,396;307,617;2,441;0,793;0,061;-0,002
303,955;307,617;1,221;0,793;0,000;0,002
303,955;305,176;-1,221;0,732;0,000;0,001
302,734;306,396;-1,221;0,916;0,000;0,000
303,955;306,396;-1,221;0,854;0,000;0,000
302,734;306,396;0,000;0,793;-0,061;0,001
305,176;307,617;0,000;0,793;0,000;0,001
303,955;307,617;1,221;0,793;-0,061;0,002
305,176;306,396;0,000;0,854;-0,061;0,000
303,955;307,617;0,000;0,854;0,061;0,001
303,955;306,396;1,221;0,854;0,000;0,003
305,176;307,617;1,221;0,854;-0,061;0,001
305,176;306,396;-2,441;0,854;-0,122;0,001
305,176;307,617;1,221;0,854;-0,061;0,001
303,955;307,617;1,221;0,793;0,000;0,001
303,955;306,396;0,000;0,793;0,000;0,002
303,955;307,617;1,221;0,854;0,000;-0,001
302,734;307,617;1,221;0,854;-0,122;0,002
303,955;307,617;-1,221;0,854;-0,122;0,001
306,396;307,617;1,221;0,916;0,000;0,000
305,176;307,617;1,221;0,916;-0,061;0,002
305,176;307,617;0,000;0,916;-0,122;-0,002
303,955;306,396;-1,221;0,854;-0,061;0,001
305,176;307,617;-1,221;0,854;-0,061;-0,001
305,176;306,396;0,000;0,854;0,000;0,001
306,396;307,617;0,000;0,854;-0,061;0,002
302,734;307,617;0,000;0,916;-0,061;0,002
305,176;307,617;0,000;0,977;0,000;0,001
303,955;307,617;-1,221;0,916;0,061;-0,001
306,396;307,617;1,221;0,854;-0,061;0,002
305,176;307,617;0,000;0,854;-0,061;-0,001
303,955;307,617;0,000;1,038;-0,061;0,001
305,176;306,396;0,000;0,916;0,061;0,001
306,396;306,396;0,000;0,916;-0,061;0,001
305,176;307,617;-1,221;0,793;0,000;0,003
306,396;307,617;1,221;0,793;-0,061;0,000
303,955;307,617;-1,221;1,038;0,000;0,000
305,176;307,617;-1,221;0,916;0,000;0,001
303,955;307,617;-1,221;1,038;-0,061;0,002
305,176;307,617;0,000;0,916;-0,061;0,001
305,176;306,396;0,000;0,916;0,061;0,001
