2,441;307,617;-1,221;-0,006;0,000;0,000
1,221;305,176;-2,441;0,006;0,055;-0,006
1,221;305,176;-1,221;-0,006;0,092;0,006
2,441;305,176;-2,441;0,000;0,122;0,000
0,000;303,955;-1,221;-0,006;0,110;0,000
2,441;305,176;-3,662;0,000;0,067;-0,006
1,221;306,396;0,000;0,000;0,024;0,000
1,221;306,396;-1,221;-0,012;-0,024;0,012
2,441;305,176;0,000;-0,012;-0,067;0,012
2,441;306,396;1,221;-0,006;-0,092;0,006
1,221;306,396;-2,441;0,000;-0,110;0,006
2,441;307,617;-2,441;0,000;-0,092;0,000
1,221;306,396;-1,221;-0,006;-0,055;0,000
1,221;307,617;-2,441;0,000;0,000;0,006
1,221;307,617;0,000;-0,006;0,031;0,006
1,221;307,617;-1,221;0,000;0,067;0,006
2,441;307,617;0,000;-0,006;0,079;0,006
0,000;305,176;-1,221;0,000;0,067;0,006
2,441;306,396;0,000;-0,006;0,055;-0,006
1,221;306,396;-1,221;-0,006;0,018;0,006
1,221;306,396;-2,441;-0,012;-0,018;0,000
1,221;306,396;0,000;0,000;-0,061;-0,006
0,000;307,617;-1,221;-0,006;-0,073;-0,006
2,441;306,396;-1,221;-0,006;-0,067;0,012
1,221;305,176;-2,441;0,006;-0,067;0,006
3,662;303,955;-1,221;0,006;-0,043;0,000
2,441;306,396;-1,221;-0,018;-0,018;0,006
1,221;307,617;-3,662;0,006;0,006;0,000
2,441;305,176;-2,441;0,000;0,031;0,006
2,441;306,396;1,221;-0,006;0,043;-0,012
-312,500;305,176;2,441;-0,195;1,709;0,000
-306,396;306,396;0,000;-0,018;2,814;0,006
-308,838;307,617;-3,662;-0,024;1,074;0,006
-306,396;305,176;-1,221;-0,012;-0,671;0,012
-305,176;307,617;-1,221;-0,012;-0,702;0,000
-305,176;306,396;-1,221;-0,018;-0,397;0,006
-303,955;306,396;1,221;0,000;0,018;0,000
-302,734;306,396;-1,221;0,018;0,232;0,000
-301,514;306,396;0,000;0,018;-0,037;0,000
-302,734;306,396;-1,221;0,012;-0,433;0,012
-301,514;305,176;0,000;0,006;-0,830;0,006
-301,514;306,396;1,221;0,000;-1,208;0,006
-305,176;305,176;-1,221;0,000;-1,562;0,000
-303,955;306,396;0,000;0,000;-1,892;-0,006
-303,955;306,396;0,000;-0,018;-2,118;0,000
-302,734;306,396;-1,221;-0,012;-2,222;-0,006
-302,734;307,617;1,221;-0,012;-2,216;-0,006
-305,176;303,955;0,000;-0,018;-2,124;-0,006
-306,396;307,617;-1,221;-0,012;-1,959;0,000
-302,734;306,396;0,000;0,000;-1,691;-0,006
-303,955;305,176;0,000;0,006;-1,379;0,012
-303,955;303,955;-1,221;-0,006;-1,080;0,000
-301,514;306,396;1,221;0,000;-0,775;0,000
-302,734;305,176;1,221;-0,012;-0,464;0,000
-302,734;305,176;1,221;0,000;-0,220;0,000
-303,955;306,396;0,000;0,006;0,006;0,018
