0,000;307,617;0,000;-0,006;-0,018;0,006
-2,441;307,617;0,000;0,000;-0,006;0,000
0,000;307,617;-1,221;-0,012;0,012;0,000
-1,221;308,838;0,000;-0,006;0,006;0,006
-1,221;307,617;0,000;0,000;-0,031;-0,006
0,000;307,617;0,000;0,000;0,000;0,000
0,000;307,617;-1,221;0,000;0,012;0,006
1,221;308,838;-1,221;-0,006;0,012;0,006
-1,221;307,617;-3,662;0,000;-0,012;0,006
0,000;307,617;-2,441;-0,006;0,000;0,006
-2,441;307,617;0,000;-0,012;0,012;0,006
-1,221;306,396;0,000;0,000;0,000;0,012
-2,441;307,617;-1,221;0,000;-0,031;0,000
0,000;307,617;0,000;0,000;-0,018;0,006
-1,221;307,617;-1,221;0,000;0,012;-0,006
-1,221;307,617;1,221;-0,006;0,000;0,006
0,000;308,838;0,000;-0,006;-0,024;0,006
1,221;307,617;-2,441;-0,012;-0,006;0,006
-1,221;308,838;-1,221;-0,006;0,006;0,006
-1,221;307,617;-2,441;0,006;-0,012;0,006
-1,221;310,059;-1,221;0,000;-0,024;0,000
0,000;307,617;-2,441;-0,006;-0,006;0,012
1,221;308,838;0,000;0,006;0,012;0,006
0,000;306,396;-2,441;-0,006;0,000;0,000
0,000;308,838;-1,221;0,000;-0,012;-0,006
1,221;307,617;-1,221;-0,006;0,000;0,000
-1,221;307,617;-1,221;-0,012;0,012;0,006
0,000;310,059;-1,221;-0,006;-0,012;0,000
0,000;307,617;-2,441;-0,006;-0,018;0,006
-1,221;306,396;-1,221;-0,018;0,000;0,000
1,221;307,617;0,000;0,000;0,018;0,006
-1,221;307,617;-1,221;-0,006;0,000;0,006
1,221;307,617;-1,221;-0,006;-0,006;0,012
1,221;307,617;-1,221;-0,006;-0,006;0,000
-1,221;307,617;-1,221;-0,012;0,000;0,000
-1,221;307,617;-1,221;0,006;-0,012;0,012
0,000;307,617;-1,221;-0,006;-0,012;0,006
-1,221;307,617;-2,441;-0,012;-0,006;0,000
-1,221;307,617;-1,221;0,000;0,037;0,006
0,000;308,838;-1,221;-0,006;0,000;0,000
0,000;307,617;-2,441;-0,012;-0,006;0,000
0,000;308,838;-2,441;-0,006;-0,006;0,006
-1,221;308,838;-1,221;0,000;0,012;0,000
1,221;307,617;-1,221;0,000;-0,031;0,006
0,000;307,617;-1,221;-0,006;-0,018;0,006
0,000;307,617;-1,221;-0,006;-0,018;-0,006
-1,221;307,617;-1,221;-0,006;0,006;0,006
-1,221;307,617;-2,441;0,006;-0,012;0,012
0,000;307,617;-2,441;-0,006;0,000;0,000
-1,221;308,838;0,000;-0,006;-0,012;0,006
-1,221;307,617;-2,441;-0,006;0,000;0,006
1,221;307,617;0,000;-0,012;-0,024;0,012
0,000;310,059;1,221;-0,012;-0,006;0,000
-1,221;307,617;-1,221;-0,012;-0,012;0,000
0,000;307,617;0,000;-0,012;0,012;0,006
1,221;308,838;1,221;-0,006;0,000;0,006
-1,221;307,617;-3,662;-0,006;-0,006;0,006
-1,221;307,617;-1,221;-0,012;-0,012;0,000
1,221;308,838;-1,221;-0,006;0,000;0,000
2,441;308,838;-1,221;0,006;-0,031;0,000
0,000;307,617;-1,221;0,000;-0,012;0,000
1,221;307,617;-2,441;-0,006;0,000;0,000
1,221;307,617;0,000;0,000;-0,006;0,000
0,000;307,617;1,221;0,006;0,006;0,006
0,000;307,617;-2,441;-0,006;-0,006;0,000
1,221;307,617;0,000;0,006;0,000;0,000
-1,221;307,617;0,000;0,006;-0,012;0,006
0,000;308,838;-1,221;-0,006;-0,024;0,000
0,000;307,617;-2,441;0,000;0,000;0,000
0,000;307,617;-2,441;-0,006;0,000;0,006
-1,221;307,617;0,000;0,000;0,006;0,006
0,000;307,617;0,000;-0,006;0,000;0,006
1,221;308,838;2,441;-0,012;-0,006;0,006
1,221;307,617;-2,441;0,000;-0,012;0,006
0,000;307,617;-1,221;0,000;-0,024;0,000
1,221;307,617;-2,441;-0,006;-0,024;0,000
0,000;307,617;-3,662;-0,012;-0,006;0,006
1,221;306,396;-1,221;0,000;-0,006;0,000
0,000;307,617;-1,221;0,000;0,018;0,000
2,441;308,838;0,000;0,006;-0,018;0,012
-1,221;308,838;-1,221;-0,006;-0,006;-0,006
0,000;307,617;-1,221;-0,006;0,006;0,000
-2,441;308,838;-1,221;0,000;-0,006;0,006
1,221;308,838;0,000;0,000;-0,012;0,006
0,000;307,617;-3,662;-0,006;0,006;-0,006
-1,221;307,617;0,000;-0,006;0,006;0,000
1,221;308,838;-1,221;-0,006;0,012;0,006
2,441;308,838;-1,221;0,000;0,000;0,006
-1,221;307,617;-3,662;0,000;0,006;0,012
-1,221;307,617;-1,221;-0,012;-0,006;0,000
-1,221;308,838;-2,441;-0,006;-0,018;0,000
1,221;306,396;0,000;0,006;-0,018;0,012
0,000;307,617;-1,221;0,006;-0,018;0,000
-1,221;307,617;-4,883;-0,012;0,000;0,012
-1,221;307,617;-2,441;0,006;0,006;0,006
0,000;307,617;0,000;-0,006;-0,006;0,012
1,221;308,838;-1,221;0,006;0,006;0,000
0,000;307,617;-2,441;-0,006;-0,012;0,012
0,000;307,617;-1,221;-0,006;-0,018;0,006
-1,221;307,617;-2,441;0,000;-0,024;0,006
-1,221;307,617;-1,221;-0,006;0,012;0,012
1,221;307,617;-2,441;-0,006;0,006;0,000
0,000;307,617;-1,221;-0,006;0,018;0,006
0,000;307,617;0,000;0,006;-0,012;0,018
1,221;307,617;0,000;0,006;-0,012;0,000
-1,221;307,617;-1,221;0,006;-0,006;0,012
0,000;308,838;-1,221;0,000;-0,031;0,006
0,000;307,617;-1,221;0,000;-0,024;0,012
0,000;308,838;-1,221;0,000;0,000;0,000
0,000;308,838;0,000;0,000;0,024;0,006
1,221;307,617;0,000;-0,006;0,006;0,000
0,000;307,617;0,000;0,000;-0,006;0,006
1,221;307,617;-1,221;0,006;0,006;0,012
0,000;307,617;-1,221;0,000;0,006;0,006
2,441;307,617;-1,221;-0,012;-0,024;0,012
-1,221;307,617;0,000;0,000;-0,031;0,000
-1,221;307,617;-3,662;0,000;0,006;0,006
-1,221;308,838;-1,221;-0,006;0,037;0,006
0,000;306,396;0,000;-0,006;0,006;0,000
1,221;310,059;-2,441;0,000;0,000;0,000
1,221;308,838;-1,221;-0,024;-0,012;0,006
-1,221;307,617;-3,662;0,006;0,000;0,006
0,000;306,396;-2,441;0,000;-0,012;0,000
0,000;307,617;0,000;-0,012;-0,024;0,006
-2,441;307,617;-1,221;-0,006;-0,018;0,000
1,221;307,617;0,000;-0,006;0,024;0,006
0,000;307,617;0,000;-0,006;0,018;0,000
0,000;308,838;0,000;-0,006;0,000;-0,006
0,000;307,617;-1,221;-0,006;-0,006;0,006
0,000;307,617;-1,221;-0,006;0,000;0,012
0,000;308,838;1,221;0,000;-0,031;-0,006
-2,441;307,617;-1,221;-0,006;-0,031;0,006
1,221;307,617;-1,221;-0,006;-0,018;0,006
0,000;306,396;-1,221;0,000;0,018;0,006
0,000;307,617;-2,441;0,000;0,012;0,000
-1,221;307,617;0,000;0,000;0,018;0,006
0,000;308,838;1,221;-0,006;-0,018;0,006
-1,221;307,617;-1,221;-0,006;0,006;0,006
2,441;307,617;0,000;-0,012;-0,031;0,000
-1,221;307,617;-1,221;0,000;-0,018;0,012
-1,221;307,617;0,000;-0,006;-0,024;-0,006
2,441;307,617;0,000;-0,006;0,012;0,000
1,221;307,617;-1,221;0,000;0,000;0,006
1,221;307,617;0,000;0,000;0,006;0,006
-1,221;307,617;-1,221;0,006;-0,018;0,006
0,000;307,617;0,000;-0,012;0,018;0,006
-1,221;307,617;-2,441;-0,006;-0,018;0,006
0,000;307,617;-1,221;-0,006;-0,012;0,000
-1,221;307,617;-1,221;0,000;-0,018;0,012
0,000;307,617;-2,441;-0,006;0,012;0,006
0,000;307,617;0,000;0,006;0,000;-0,006
0,000;307,617;-1,221;0,000;0,000;0,006
1,221;307,617;0,000;0,000;-0,006;0,012
1,221;307,617;-1,221;-0,006;0,000;0,000
-1,221;307,617;-1,221;0,000;-0,006;0,006
0,000;308,838;0,000;-0,012;-0,012;0,012
0,000;308,838;-3,662;0,000;-0,006;0,000
1,221;307,617;-1,221;-0,006;0,006;0,000
1,221;308,838;-1,221;-0,012;0,000;0,000
1,221;307,617;-2,441;0,012;0,000;-0,006
0,000;308,838;-2,441;-0,012;-0,006;0,012
1,221;307,617;-2,441;-0,006;-0,012;0,012
1,221;307,617;-2,441;0,000;-0,018;0,012
2,441;306,396;0,000;-0,006;-0,012;0,012
0,000;308,838;0,000;-0,012;-0,018;0,000
1,221;307,617;-1,221;0,000;0,006;0,012
-2,441;307,617;1,221;-0,006;-0,006;0,006
0,000;308,838;-1,221;0,000;0,006;0,000
0,000;307,617;-2,441;-0,012;0,000;0,000
0,000;307,617;-2,441;-0,006;0,000;0,006
-1,221;306,396;-1,221;0,000;-0,024;0,000
-1,221;307,617;-1,221;0,006;-0,012;0,000
-1,221;307,617;-1,221;-0,006;0,000;0,000
-1,221;307,617;-1,221;0,006;0,000;0,006
1,221;308,838;-1,221;-0,006;0,000;0,000
1,221;307,617;-2,441;-0,006;0,006;0,000
0,000;307,617;1,221;-0,012;0,000;0,006
1,221;307,617;-1,221;0,000;0,000;0,000
0,000;307,617;-1,221;-0,012;-0,031;0,006
-1,221;308,838;0,000;-0,006;-0,006;0,000
1,221;307,617;0,000;0,000;-0,006;0,000
-1,221;307,617;-1,221;0,000;0,000;0,006
1,221;306,396;-1,221;-0,006;-0,012;0,006
0,000;307,617;0,000;-0,012;-0,006;0,012
1,221;307,617;0,000;0,000;-0,018;0,000
-2,441;307,617;-1,221;0,000;0,006;0,006
-1,221;307,617;-1,221;0,000;-0,031;0,000
1,221;307,617;-1,221;-0,012;-0,018;0,000
1,221;307,617;0,000;-0,006;0,006;-0,006
-1,221;307,617;0,000;0,006;0,000;0,006
-1,221;307,617;-1,221;-0,006;-0,024;-0,006
-1,221;307,617;-1,221;-0,012;0,000;0,006
-2,441;308,838;-2,441;0,000;0,000;0,006
0,000;308,838;-1,221;0,000;0,006;0,006
1,221;307,617;0,000;0,000;0,000;0,006
-1,221;308,838;-1,221;0,012;-0,006;0,000
-1,221;307,617;-2,441;0,000;0,006;0,000
0,000;306,396;-1,221;0,000;0,012;0,006
1,221;308,838;-2,441;0,000;-0,018;0,006
