t	IF	IR	VF	VR	VelSP	VelRE
0,000	0,000	0,000	0,000E+0	2,400E+1	0,000E+0
0,000	0,000	0,000	0,000E+0	2,400E+1	0,000E+0	0,000E+0
1,002	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
2,001	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
3,002	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
4,002	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
5,001	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
6,002	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
7,001	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
8,002	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
9,001	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
10,002	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
11,002	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
12,002	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
13,003	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
14,003	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
15,005	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
16,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
17,005	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
18,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
19,005	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
20,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
21,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
22,005	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
23,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
24,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
25,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
26,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
27,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
28,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
29,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
30,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
31,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
32,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
33,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
34,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
35,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
36,008	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
37,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
38,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
39,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
40,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
41,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
42,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
43,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
44,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
45,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
46,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
47,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
48,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
49,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
50,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
51,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
52,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
53,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
54,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,470E+2
55,011	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	2,940E+3
56,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,770E+3
57,011	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,465E+3
58,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,327E+3
59,011	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,533E+3
60,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,533E+3
61,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,486E+3
62,011	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,508E+3
63,011	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,492E+3
64,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,485E+3
65,011	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,497E+3
66,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,505E+3
67,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,498E+3
68,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,507E+3
69,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,503E+3
70,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,440E+3
71,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,507E+3
72,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,498E+3
73,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,501E+3
74,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,504E+3
75,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,503E+3
76,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,496E+3
77,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,497E+3
78,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,489E+3
79,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,505E+3
80,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,501E+3
81,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,492E+3
82,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,494E+3
83,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,503E+3
84,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,503E+3
85,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,490E+3
86,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,492E+3
87,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,498E+3
88,014	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,503E+3
89,014	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,503E+3
90,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,507E+3
91,014	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,498E+3
92,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,499E+3
93,015	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,516E+3
94,014	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,500E+3
95,016	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,498E+3
96,016	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,498E+3
97,015	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,497E+3
98,016	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,511E+3
99,015	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	3,502E+3
100,016	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,516E+3
101,015	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
102,015	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,488E+3
103,016	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,494E+3
104,016	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,503E+3
105,018	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,504E+3
106,017	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,505E+3
107,018	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,504E+3
108,017	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,502E+3
109,017	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,503E+3
