t	PL(A)	PL(B)	PL(T)	PL(E)	V(A)	V(B)	V(E)	I(A)	I(B)	I(E)	n_bracos	n_res
189,055	0,000	0,000	0,000E+0	0,000E+0	4,454E+1	3,250E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
0,004	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,910E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
1,005	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,910E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
2,005	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,920E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
3,005	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,910E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
4,005	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,910E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
5,005	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,910E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
6,005	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,920E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
7,005	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,920E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
8,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,910E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
9,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,910E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
10,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,900E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
11,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	2,900E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	0001
