t	IF	IR	VF	VR	VelSP	VelRE
2795,629	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
0,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
1,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
2,023	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
3,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
4,023	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
5,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
6,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
7,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
8,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
9,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
10,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
11,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
12,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
13,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
14,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
15,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
16,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
17,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
18,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
19,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
20,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
21,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
22,025	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
23,024	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
24,025	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
25,025	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
26,027	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
27,027	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
28,026	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
29,027	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
30,026	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
31,027	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
32,026	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
33,027	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	1,418E+3
34,028	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,987E+3
35,028	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,864E+3
36,029	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,543E+3
37,029	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,260E+3
38,030	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,177E+3
39,030	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,416E+3
40,030	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,582E+3
41,030	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,590E+3
42,030	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,505E+3
43,031	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,451E+3
44,032	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,444E+3
45,031	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,493E+3
46,032	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,527E+3
47,031	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,537E+3
48,032	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,496E+3
49,033	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,485E+3
50,033	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
51,033	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,511E+3
52,032	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,515E+3
53,034	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,495E+3
54,034	0,008	0,000	3,000E-1	2,400E+1	3,500E+3	3,480E+3
55,036	0,008	0,000	8,500E-1	2,400E+1	3,500E+3	3,500E+3
56,036	0,016	0,000	1,170E+0	2,400E+1	3,500E+3	3,506E+3
57,037	0,025	0,000	1,170E+0	2,400E+1	3,500E+3	3,495E+3
58,038	0,025	0,000	1,750E+0	2,400E+1	3,500E+3	3,486E+3
59,038	0,033	0,000	2,180E+0	2,400E+1	3,500E+3	3,498E+3
60,040	0,043	0,000	2,180E+0	2,400E+1	3,500E+3	3,489E+3
61,039	0,043	0,000	2,550E+0	2,400E+1	3,500E+3	3,495E+3
62,040	0,051	0,000	3,050E+0	2,400E+1	3,500E+3	3,488E+3
63,040	0,058	0,000	3,050E+0	2,400E+1	3,500E+3	3,493E+3
