t	IF	IR	VF	VR	VelSP	VelRE
4,037	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
0,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
1,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
2,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
3,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
4,012	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
5,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
6,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
7,014	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
8,014	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
9,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
10,015	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
11,014	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
