t	IF	IR	VF	VR	VelSP	VelRE
25,012	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
0,003	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
1,002	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
2,003	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
3,004	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
4,003	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
5,005	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
6,004	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
7,005	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
8,006	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
9,005	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
10,006	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
11,006	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
12,006	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
13,007	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
14,007	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
15,008	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
16,008	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
17,010	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
18,009	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
19,009	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
20,011	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
21,011	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
22,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
23,012	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
24,014	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
25,013	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
