t	IF	IR	VF	VR	VelSP	VelRE
0,000	0,000	0,000	0,000E+0	2,400E+1	0,000E+0
0,038	0,000	0,000	0,000E+0	2,400E+1	0,000E+0	0,000E+0
1,038	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
2,038	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
3,038	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
4,038	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
5,037	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
6,038	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
7,037	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
8,038	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
9,038	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
10,038	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
11,038	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
12,038	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
13,039	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
14,039	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
15,040	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
16,040	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
17,040	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
18,040	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
19,039	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
20,040	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
21,039	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
22,040	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
23,040	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
24,040	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
25,040	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
26,039	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
