t	IF	IR	VF	VR	VelSP	VelRE
0,000	0,000	0,000	0,000E+0	2,400E+1	0,000E+0
0,003	0,000	0,000	0,000E+0	2,400E+1	0,000E+0	0,000E+0
1,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
2,003	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
3,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
4,003	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
5,003	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
6,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
7,003	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
8,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
9,003	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
10,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
11,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
12,003	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
13,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
14,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
15,005	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
16,005	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
17,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
18,008	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
19,007	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
20,008	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
21,007	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
22,008	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
23,008	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
24,010	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
25,010	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
26,009	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
