t	IF	IR	VF	VR	VelSP	VelRE
0,000	0,000	0,000	0,000E+0	2,400E+1	0,000E+0
0,017	0,000	0,000	0,000E+0	2,400E+1	0,000E+0
1,016	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
2,017	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
3,019	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
4,018	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
5,018	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
6,019	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
7,019	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
8,019	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
9,019	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
10,020	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
11,019	0,000	0,000	3,000E-1	2,400E+1	0,000E+0
