t	IF	IR	VF	VR	VelSP	VelRE
0,000	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
1,706	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
2,706	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
3,708	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
4,708	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
5,709	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
6,709	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
7,709	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
8,709	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
9,708	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
10,709	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
11,709	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
12,709	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
13,709	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
14,710	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
15,710	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
16,709	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
17,710	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
18,710	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
19,710	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
20,710	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
21,710	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
22,710	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
23,709	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
24,710	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
25,710	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
