t	IF	IR	VF	VR	VelSP	VelRE
31,016	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
0,000	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
1,001	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
2,002	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
3,002	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
4,002	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
5,001	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
6,003	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
7,003	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
8,003	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
9,003	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
10,003	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
11,003	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
12,002	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
