t	IF	IR	VF	VR	VelSP	VelRE
157,041	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
0,003	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
1,002	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
2,004	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
3,005	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
4,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
5,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
6,005	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
7,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
8,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
9,007	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
10,007	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
11,006	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	0,000E+0
12,008	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	1,120E+3
13,007	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,845E+3
14,008	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,764E+3
15,008	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,491E+3
16,009	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,306E+3
17,010	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,363E+3
18,009	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,546E+3
19,010	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,526E+3
20,009	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,489E+3
21,010	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,484E+3
22,009	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,508E+3
23,011	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,526E+3
24,011	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,483E+3
25,010	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
26,011	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,501E+3
27,010	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,494E+3
28,011	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,503E+3
29,011	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,503E+3
30,012	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,506E+3
31,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,494E+3
32,012	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,507E+3
33,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,488E+3
34,012	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,499E+3
35,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,503E+3
36,012	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,504E+3
37,013	0,000	0,000	3,000E-1	2,400E+1	3,500E+3	3,504E+3
