t	IF	IR	VF	VR	VelSP	VelRE
595,164	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
0,015	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
1,014	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
2,015	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
3,014	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
4,015	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
5,015	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
6,015	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
7,016	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
8,015	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
9,016	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
10,016	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
11,017	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
12,017	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
13,017	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
14,018	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
15,017	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
16,018	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
17,017	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
18,017	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
19,018	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
20,018	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
21,019	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
22,018	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
23,020	0,000	0,100	3,000E-1	2,400E+1	0,000E+0	0,000E+0
24,019	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	0,000E+0
25,019	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	0,000E+0
26,020	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	0,000E+0
27,020	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	0,000E+0
28,021	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	0,000E+0
29,020	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	0,000E+0
30,021	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	0,000E+0
31,020	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	0,000E+0
32,020	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	0,000E+0
33,021	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	1,914E+3
34,020	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,875E+3
35,022	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,663E+3
36,021	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,380E+3
37,022	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,280E+3
38,021	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,481E+3
39,021	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,539E+3
40,023	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,505E+3
41,022	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,469E+3
42,024	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,516E+3
43,023	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,514E+3
44,024	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,488E+3
45,023	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,503E+3
46,024	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,500E+3
47,025	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,491E+3
48,024	0,000	0,100	3,000E-1	2,400E+1	3,500E+3	3,494E+3
49,025	0,000	0,100	1,403E+1	2,400E+1	3,500E+3	3,492E+3
50,024	0,100	0,100	5,340E+0	2,400E+1	3,500E+3	3,518E+3
51,025	0,100	0,100	5,340E+0	2,400E+1	3,500E+3	3,510E+3
52,024	0,093	0,100	4,990E+0	2,400E+1	3,500E+3	3,516E+3
53,024	0,093	0,100	5,040E+0	2,400E+1	3,500E+3	3,493E+3
54,026	0,092	0,100	5,040E+0	2,400E+1	3,500E+3	3,507E+3
55,025	0,092	0,100	4,970E+0	2,400E+1	3,500E+3	3,510E+3
56,026	0,091	0,100	4,930E+0	2,400E+1	3,500E+3	3,487E+3
57,026	0,091	0,100	4,930E+0	2,400E+1	3,500E+3	3,502E+3
58,027	0,090	0,100	4,870E+0	2,400E+1	3,500E+3	3,514E+3
59,026	0,089	0,100	5,040E+0	2,400E+1	3,500E+3	3,499E+3
60,026	0,089	0,100	5,040E+0	2,400E+1	3,500E+3	3,503E+3
61,027	0,104	0,100	5,650E+0	2,400E+1	3,500E+3	3,497E+3
62,026	0,108	0,100	5,800E+0	2,400E+1	3,500E+3	3,498E+3
63,028	0,108	0,100	5,800E+0	2,400E+1	3,500E+3	3,512E+3
64,027	0,111	0,100	5,960E+0	2,400E+1	3,500E+3	3,504E+3
65,028	0,114	0,100	6,100E+0	2,400E+1	3,500E+3	3,498E+3
66,028	0,114	0,100	6,100E+0	2,400E+1	3,500E+3	3,506E+3
67,027	0,116	0,100	6,220E+0	2,400E+1	3,500E+3	3,485E+3
68,028	0,118	0,100	6,320E+0	2,400E+1	3,500E+3	3,494E+3
69,027	0,118	0,100	6,320E+0	2,400E+1	3,500E+3	3,525E+3
70,029	0,120	0,100	6,390E+0	2,400E+1	3,500E+3	3,496E+3
71,029	0,121	0,100	6,460E+0	2,400E+1	3,500E+3	3,507E+3
72,031	0,122	0,100	6,460E+0	2,400E+1	3,500E+3	3,506E+3
73,032	0,122	0,100	6,520E+0	2,400E+1	3,500E+3	3,503E+3
74,031	0,123	0,100	6,600E+0	2,400E+1	3,500E+3	3,452E+3
75,032	0,123	0,100	6,600E+0	2,400E+1	3,500E+3	3,494E+3
76,031	0,124	0,100	6,620E+0	2,400E+1	3,500E+3	3,501E+3
77,033	0,125	0,100	6,660E+0	2,400E+1	3,500E+3	3,478E+3
78,032	0,125	0,100	6,660E+0	2,400E+1	3,500E+3	3,502E+3
79,033	0,126	0,100	6,700E+0	2,400E+1	3,500E+3	3,499E+3
80,035	0,126	0,100	6,730E+0	2,400E+1	3,500E+3	3,503E+3
81,034	0,126	0,100	6,730E+0	2,400E+1	3,500E+3	3,511E+3
82,035	0,126	0,100	6,740E+0	2,400E+1	3,500E+3	3,516E+3
83,034	0,127	0,100	6,760E+0	2,400E+1	3,500E+3	3,488E+3
84,036	0,127	0,100	6,760E+0	2,400E+1	3,500E+3	3,497E+3
85,035	0,127	0,100	6,780E+0	2,400E+1	3,500E+3	3,446E+3
86,035	0,128	0,100	6,800E+0	2,400E+1	3,500E+3	3,522E+3
87,036	0,128	0,100	6,800E+0	2,400E+1	3,500E+3	3,506E+3
88,035	0,128	0,100	6,810E+0	2,400E+1	3,500E+3	3,500E+3
89,037	0,128	0,100	6,820E+0	2,400E+1	3,500E+3	3,494E+3
90,037	0,128	0,100	6,820E+0	2,400E+1	3,500E+3	3,494E+3
91,039	0,128	0,100	6,840E+0	2,400E+1	3,500E+3	3,441E+3
92,038	0,153	0,100	8,270E+0	2,400E+1	3,500E+3	3,474E+3
93,039	0,148	0,100	8,270E+0	2,400E+1	3,500E+3	3,500E+3
94,040	0,148	0,100	7,870E+0	2,400E+1	3,500E+3	3,486E+3
95,039	0,153	0,100	8,140E+0	2,400E+1	3,500E+3	3,501E+3
96,041	0,155	0,100	8,140E+0	2,400E+1	3,500E+3	3,503E+3
97,040	0,155	0,100	8,230E+0	2,400E+1	3,500E+3	3,494E+3
98,041	0,156	0,100	8,270E+0	2,400E+1	3,500E+3	3,486E+3
99,041	0,158	0,100	8,270E+0	2,400E+1	3,500E+3	3,499E+3
100,040	0,158	0,100	8,360E+0	2,400E+1	3,500E+3	3,501E+3
101,041	0,159	0,100	8,430E+0	2,400E+1	3,500E+3	3,507E+3
102,040	0,160	0,100	8,430E+0	2,400E+1	3,500E+3	3,497E+3
103,041	0,160	0,100	8,490E+0	2,400E+1	3,500E+3	3,494E+3
104,041	0,160	0,100	8,480E+0	2,400E+1	3,500E+3	3,499E+3
105,042	0,160	0,100	8,480E+0	2,400E+1	3,500E+3	3,499E+3
106,042	0,161	0,100	8,540E+0	2,400E+1	3,500E+3	3,501E+3
107,042	0,162	0,100	8,560E+0	2,400E+1	3,500E+3	3,509E+3
108,043	0,162	0,100	8,560E+0	2,400E+1	3,500E+3	3,495E+3
109,044	0,162	0,100	8,570E+0	2,400E+1	3,500E+3	3,515E+3
110,043	0,162	0,100	8,590E+0	2,400E+1	3,500E+3	3,500E+3
111,045	0,162	0,100	8,590E+0	2,400E+1	3,500E+3	3,498E+3
112,044	0,163	0,100	8,610E+0	2,400E+1	3,500E+3	3,506E+3
113,045	0,163	0,100	8,640E+0	2,400E+1	3,500E+3	3,497E+3
114,044	0,163	0,100	8,640E+0	2,400E+1	3,500E+3	3,501E+3
115,046	0,163	0,100	8,640E+0	2,400E+1	3,500E+3	3,507E+3
