t	IF	IR	VF	VR	VelSP	VelRE
426,178	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	1,572E+3
0,040	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
1,040	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
2,039	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
3,041	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
4,040	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
5,041	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
6,041	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
7,040	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
8,041	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
9,041	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
10,042	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
11,042	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	0,000E+0
12,042	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	0,000E+0
13,042	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	0,000E+0
14,041	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	0,000E+0
15,042	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	0,000E+0
16,041	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	0,000E+0
17,042	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	0,000E+0
18,042	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	0,000E+0
19,042	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	0,000E+0
20,042	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	1,491E+3
21,041	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	3,949E+3
22,042	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	3,828E+3
23,041	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	3,531E+3
24,042	0,000	0,080	3,000E-1	2,400E+1	3,500E+3	3,272E+3
25,042	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	3,181E+3
26,042	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	2,777E+3
27,042	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	2,335E+3
28,042	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	1,898E+3
29,044	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	1,517E+3
30,043	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
31,045	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
